Property_Type,Club_House,School_University_In_Township,Hospital_In_Township,Mall_In_Township,Park_Jogging_Track,Swimming_Pool,Gym,Property_Area_in_SqFt,Price_In_Lakhs,Price_By_SubArea,Amenities_Score,Price_By_Amenities_Score,Noun_Counts,Verb_Counts,Adjective_Counts,boasts_elegant,elegant_towers,every_day,great_community,mantra_gold,offering_bedroom,quality_specification,stories_offering,towers_stories,world_class
2.0,1,0,0,0,1,1,1,691.0,55.26,55.24,4,97.87350515463918,11,1,4,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,835.0,66.0,55.24,4,97.87350515463918,11,1,7,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,854.0,67.0,55.24,4,97.87350515463918,8,0,6,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,0,626.0,45.7,45.6,2,81.48103448275862,8,0,2,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,0,715.0,45.5,45.6,2,81.48103448275862,10,0,3,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,0,692.5,59.0,81.75,1,62.574285714285715,8,1,3,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,1,0,0,968.0,87.0,81.75,1,62.574285714285715,12,0,3,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,1,0,0,996.0,89.0,81.75,1,62.574285714285715,9,3,5,0,0,1,0,0,0,0,0,0,0
3.0,0,0,0,0,1,0,0,1038.0,92.0,81.75,1,62.574285714285715,12,1,6,0,0,0,0,0,0,0,0,0,1
1.0,1,0,0,0,1,1,1,489.0,43.8,63.28333333333333,4,97.87350515463918,9,1,5,0,0,0,0,0,0,0,0,0,1
2.0,1,0,0,0,1,1,1,598.0,55.3,63.28333333333333,4,97.87350515463918,4,1,5,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,616.0,56.5,63.28333333333333,4,97.87350515463918,5,5,1,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,692.0,62.3,63.28333333333333,4,97.87350515463918,9,4,4,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,867.0,79.3,63.28333333333333,4,97.87350515463918,5,0,2,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,908.0,82.5,63.28333333333333,4,97.87350515463918,9,0,3,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1624.0,159.0,174.64999999999992,4,97.87350515463918,12,0,3,0,0,0,0,0,0,0,0,0,0
4.0,1,0,0,0,1,1,1,1671.7999999999995,190.29999999999987,174.64999999999992,4,97.87350515463918,18,0,4,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,1,0,727.0,45.74,45.68818181818182,2,81.48103448275862,7,0,4,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,1,1,0,923.0,58.95,45.68818181818182,2,81.48103448275862,6,1,4,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,731.5,59.0,64.9,4,97.87350515463918,9,1,7,0,0,1,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1073.5,109.0,64.9,4,97.87350515463918,6,0,4,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,1,408.0,39.99,66.310625,3,68.51434782608695,9,0,12,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,1,546.0,53.99,66.310625,3,68.51434782608695,6,1,4,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,1,629.0,59.99,66.310625,3,68.51434782608695,11,1,3,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,0,1,378.0,33.0,69.12111111111112,3,68.51434782608695,10,1,7,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,0,1,494.0,47.0,69.12111111111112,3,68.51434782608695,13,0,6,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,1,780.0,70.0,69.12111111111112,3,68.51434782608695,5,1,3,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,1,850.0,73.0,69.12111111111112,3,68.51434782608695,9,3,5,0,0,1,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,1,900.0,78.0,69.12111111111112,3,68.51434782608695,12,0,6,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,1,930.0,83.0,69.12111111111112,3,68.51434782608695,11,0,4,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,1,1,0,1272.5,175.0,132.96499999999997,2,81.48103448275862,8,0,3,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,1,1,0,1671.7999999999995,190.29999999999987,132.96499999999997,2,81.48103448275862,7,3,4,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,1,1,0,1671.7999999999995,190.29999999999987,132.96499999999997,2,81.48103448275862,2,1,2,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,0,0,405.0,39.49,58.044000000000004,2,81.48103448275862,6,2,5,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,0,0,408.0,39.49,58.044000000000004,2,81.48103448275862,6,3,4,0,0,1,0,0,0,0,0,0,0
1.0,1,0,0,0,1,0,0,392.0,39.49,58.044000000000004,2,81.48103448275862,5,0,4,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,0,667.0,64.99,58.044000000000004,2,81.48103448275862,10,1,8,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,0,641.0,64.99,58.044000000000004,2,81.48103448275862,5,2,6,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,0,665.0,64.99,58.044000000000004,2,81.48103448275862,5,2,3,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,1,1,280.0,13.19,15.239999999999998,4,97.87350515463918,7,3,6,0,0,0,0,0,0,0,0,0,0
